inchi_key	n_annotations	target_genes	annotated_moas	smiles
ACLUEOBQFRYTQS-UHFFFAOYSA-N	1	ANO1	Calcium activated chloride channel 1 inhibitor	CC(C)(C)C1CCc2c(sc(NC(=O)c3ccco3)c2C(=O)O)C1
ACNHBCIZLNNLRS-UBGQALKQSA-N	1			CC(C)(O)[C@H]1O[C@H]2CC[C@@]3(C)[C@@](O)(CC[C@H]4Cc5c([nH]c6ccccc56)[C@@]43C)C2=CC1=O
ACPOUJIDANTYHO-UHFFFAOYSA-N	70	FLT3,MAPK8,MAP2K4,MAPK9,TTK,AAK1,MAPK10,BMP2K,GAK,CDK16	SAPK1c (JNK1) Inhibitors,SAPK1b (JNK3) Inhibitors,SAPK1a (JNK2) Inhibitors,Dardarin) Inhibitors,Leucine-Rich Repeat Kinase 2 (LRRK2,Inhibitors of Signal Transduction Pathways,AP-1 Inhibitors	O=C1c2ccccc2-c2n[nH]c3cccc1c23
ACTIUHUUMQJHFO-UPTCCGCDSA-N	1			
ACVGNKYJVGNLIL-UHFFFAOYSA-N	3	GABRG2,GABRB3,GABRA1	GABA(A) Receptor Antagonists	COc1ccc(-c2ccc(=N)n(CCCC(=O)O)n2)cc1
ADEBPBSSDYVVLD-UHFFFAOYSA-N	1	ACHE	Acetylcholinesterase Inhibitors	COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
ADFGMTGMCUBKEF-GASCZTMLSA-N	1	EPHA4	Ephrin A4 ligand inhibitor	
ADLYBSSJKFIGDM-UHFFFAOYSA-N	3	FFAR1	FFAR1 agonist,GPR40) Agonists,Free Fatty Acid Receptor 1 (FFAR1	Cc1cccc(C)c1-c1cccc(COc2ccc(CCC(=O)O)cc2)c1
ADPBTBPPIIKLEH-UHFFFAOYSA-N	2	SMPD2	HIV Integrase Inhibitors,Neutral Sphingomyelinase (N-SMase) Inhibitors	COc1cc(O)c(C(=O)O)c(-c2cc(O)c(O)cc2C)c1
ADUKCCWBEDSMEB-NSHDSACASA-N	1	ADRB1	beta-Adrenoceptor Agonists	CC(C)NC[C@H](O)COc1ccc(O)cc1
ADZBMFGQQWPHMJ-WMLDXEAASA-N	1	CSF1R	CSF1R gene antagonist	CNC(=O)c1cc(Oc2ccc3nc(N[C@H]4CCCC[C@H]4O)sc3c2)ccn1
AECDBHGVIIRMOI-UHFFFAOYSA-N	4	IGF1R,NUDT1	IGF1R inhibitor,MTH1 inhibitor	Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2C1CC(CN2CCC2)C1
AEOCXXJPGCBFJA-UHFFFAOYSA-N	1			
AEQDJSLRWYMAQI-UHFFFAOYSA-N	5	DRD5,DRD4,DRD3,DRD2,DRD1	5-HT Release Inhibitors	COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3CN1CC2
AEVGCUSOXYKFKL-UHFFFAOYSA-N	1			
AEZZPAQOEUQNBB-UHFFFAOYSA-N	2	PDE3A,PDE3B	Phosphodiesterase III Inhibitors	CC1CC(=O)NN=C1c1ccc(-n2ccnc2)cc1
AFCGFAGUEYAMAO-UHFFFAOYSA-N	9	GRIN2B,GRIN2A,GRM1	mgluR),Drugs Acting on Glutamate Receptors (Metabotropic,NMDA Antagonists	CC(=O)NCCCS(=O)(=O)O
AFMXVBAHMGWYAZ-UHFFFAOYSA-N	2	KIT	KIT (C-KIT) Inhibitors,Inhibitors of Signal Transduction Pathways	Cc1ccc(-c2ccnc(Nc3cc(NC(=O)c4ccc(CN5CCN(C)CC5)cc4)ccc3C)n2)cn1
AFVLVVWMAFSXCK-VMPITWQZSA-N	1	SLC16A1	Monocarboxylate Transporter 1 (MCT1) Inhibitors	N#C/C(=C\c1ccc(O)cc1)C(=O)O
AFZWZVLPIMHLSE-UHFFFAOYSA-N	1	RAPGEF4	Guanine Nucleotide Exchange Factors (GEFs) Inhibitors	Cc1cc(C)c(S(=O)(=O)n2cc(C)cc2C)c(C)c1
AGBQKNBQESQNJD-SSDOTTSWSA-N	4	DLAT,PDHA1,PDHA2,PDHB	Pyruvate Dehydrogenase Activators	O=C(O)CCCC[C@@H]1CCSS1
AGKAAJMNNVUNDK-UHFFFAOYSA-N	1	KCNN4	Acetylcholine Release Enhancers	O=C(NCCCN1CCCCCC1)C(c1ccccc1)C1CCCCC1
AGLCGCXQQDBYKJ-UHFFFAOYSA-N	1	ICMT	Isoprenylcysteine Carboxyl Methyltransferase Inhibitors	COc1cccc(NCCC2(c3ccccc3)CC(C)(C)OC(C)(C)C2)c1
AGNFWIZBEATIAK-UHFFFAOYSA-N	1	AOC3	Semicarbazide-Sensitive Amine Oxidase (SSAO| VAP-1)  Inhibitors	NCCCCc1ccccc1
AGPKZVBTJJNPAG-WHFBIAKZSA-N	32	CACNA2D1,CACNA2D2,CACNA2D3,CACNA2D4,BCAT2,BCAT1,CRHR1,ACADSB	Branched Chain Amino Acid,Calcium Channels (Voltage-Gated) alpha2/delta Subunit Ligands,Apoptosis Inhibitors,CRHR1 agonist	CC[C@H](C)[C@H](N)C(=O)O
AGSPXMVUFBBBMO-UHFFFAOYSA-N	2	LOX,LOXL2	LOX inhibitor	N#CCCN
AGVNHDNTFYHZNL-QGZVFWFLSA-N	1	HTR7	5-HT7 Antagonists	Cc1cccc(S(=O)(=O)N(C)[C@H](C)CCN2CCC(C)CC2)c1
AGZMQTIIZFXACL-UHFFFAOYSA-N	1	CA1	Carbonic anhydrase inhibitor	NS(=O)(=O)c1ccc(NS(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1
AHGMXAFUHVRQAD-UHFFFAOYSA-N	1	PPOX	Protoporphyrinogen oxidase inhibitor	COC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]
AHIFMZUYRNPRJK-MHZLTWQESA-N	6	ECE1,ECE2,MME	Neprilysin (Enkephalinase, Neutral Endopeptidase, NEP) Inhibitors,Endothelin-Converting Enzyme (ECE) Inhibitors	O=P(CN[C@@H](Cc1ccc(-c2ccccc2)cc1)c1nn[nH]n1)(Oc1ccccc1)Oc1ccccc1
AHJRHEGDXFFMBM-UHFFFAOYSA-N	4	CDK6,CDK4	CDK4 Inhibitors,CDK6 Inhibitors	CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O
AIBHLZVVPXCTKY-SRCQZFHVSA-N	4	DRD2,DRD1	Dopamine D2 Agonists,Dopamine D1 Agonists	CN1C[C@H](Cn2cncn2)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
AIFRHYZBTHREPW-UHFFFAOYSA-N	4	MAOB,IDO1	MAO-B Inhibitors,Indoleamine 2,3-dioxygenase Inhibitors	c1ccc2c(c1)[nH]c1cnccc12
AINBDMJFHOKBDF-UHFFFAOYSA-N	3	ERCC4,ERCC1,FEN1	Nucleotide Excision Repair Inhibitor	CC(=O)Nc1ccc2c(=O)n(O)c(=O)[nH]c2c1
AIONOLUJZLIMTK-AWEZNQCLSA-N	10	TRPM3,CYP1B1	TRPM3 Antagonists,Cytochrome P450 CYP1B1 Inhibitors,Triglyceride Lowering Agents,Antioxidants,Lipid Lowering Agents	COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O
AIXMJTYHQHQJLU-UHFFFAOYSA-N	1	MIF	Macrophage Migration Inhibitory Factor (MIF) Inhibitors	COC(=O)CC1CC(c2ccc(O)cc2)=NO1
AJBBEYXFRYFVNM-UHFFFAOYSA-N	1	ADORA2B	Adenosine A2B Antagonists	CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C#N)cc4)cc3)nc2n(CCC)c1=O
AJCDZIDKYKCOMZ-AATRIKPKSA-N	1			
AJFFBPZYXRNAIC-UHFFFAOYSA-N	1	CNR1	CNR1 antagonist	Cc1c(C(=O)NN2CCOCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(I)cc1
AJFGLTPLWPTALJ-SSDOTTSWSA-N	1	HDC	Histidine Decarboxylase Inhibitors	N[C@@](CF)(Cc1c[nH]cn1)C(=O)O
AJIAMIPUWJQSPR-UHFFFAOYSA-N	1	QPCT	QPCT inhibitor	Cn1cnnc1C1CCN(c2ncccc2-c2ccc(F)nc2)CC1
AJKSBVCOTKODMF-UHFFFAOYSA-N	1	CACNA1D	CACNA1D calcium channel subunit inhibitor	O=C1CC(=O)N(C2CCCC2)C(=O)N1CCc1cccc(Cl)c1
AJPSBXJNFJCCBI-YPLOISPCSA-N	1	OPRM1	OPRM1 antagonist	
AJRGHIGYPXNABY-UHFFFAOYSA-N	1	HDAC8	HDAC8 inhibitor	COc1ccc(Cn2ccc3ccc(C(=O)NO)cc32)cc1
AKGUXECGGCUDCV-UXBLZVDNSA-N	1			
AKJULTWNHWSAFM-UHFFFAOYSA-N	1	RORC	RORC gamma t inhibitor	CS(=O)(=O)c1ccc(CC(=O)Nc2cc(Cl)c(-c3ccccc3OC(F)(F)F)c(Cl)c2)cc1
AKMNUCBQGHFICM-UHFFFAOYSA-N	2	HCRTR1	HCRTR1 antagonist,Orexin OX-1 Antagonists	Cc1nc2ccc(NC(=O)Nc3ccnc4cccnc34)cc2o1
ALBKMJDFBZVHAK-UHFFFAOYSA-N	5	GABRA1,GABRA2,GABRA3,GABRB3,GABRG2	Anxiolytics	CCOC(=O)c1ncc2[nH]c3ccc(OCc4ccccc4)cc3c2c1COC
ALDJQYJOXDCKFF-BHDDXSALSA-N	1	REN	Renin Inhibitors	CCOC[C@@H](CC(C)C)NC(=O)[C@@H]1CNC[C@H](C(=O)N(c2cc(OCC)c(CC)cn2)C2CC2)C1
ALFGDCNSEBJYSP-UHFFFAOYSA-N	1	HTR2B	HTR2B agonist	CC(N)Cc1c[nH]c2ccc(OCc3cccs3)cc12
ALGFQPMFHIDLFQ-UHFFFAOYSA-N	1			Cc1ccc2oc(-c3cc(Br)ccc3O)cc(=O)c2c1
ALHBJBCQLJZYON-ZQDZILKHSA-N	1	KDM1A	KDM1A (LSD1) inhibitor	N[C@H]1CC[C@H](N[C@@H]2C[C@H]2c2ccccc2)CC1
ALMACYDZFBMGOR-UHFFFAOYSA-N	1	GRM2	mgluR2 Agonists	COc1ccccc1Oc1ccc(N(Cc2cccnc2)S(=O)(=O)CC(F)(F)F)cc1
ALRYLNXZUBATMZ-UHFFFAOYSA-N	3	RXRG,RXRB,RXRA	Retinoid RXR Agonists	C=C(c1ccc(C(=O)O)cn1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
ALSKYCOJJPXPFS-BBRMVZONSA-N	2	CHRNA4,CHRNB2	Nicotinic alpha4beta2 Antagonists	CO[C@H]1CC=C2CCN3CCC4=C(CC(=O)OC4)[C@]23C1
ALWKGYPQUAPLQC-UHFFFAOYSA-N	1	ACHE	Acetylcholinesterase Inhibitors	CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1
AMAJXAHZCGMNST-UHFFFAOYSA-N	1	PGR	Progesterone Receptor Antagonists	CC1=C2CC3(C)C(=CC(O)C(O)C3C)C=C2OC1=O
AMLKCBXPVBOXAU-UHFFFAOYSA-N	2	CASR	Parathyroid Hormone Secretion Stimulants,Calcium-Sensing Receptor (CaSR) Antagonists	C#CCOc1ccc2c(c1)c(-c1ccc(C(C)C)cc1)nc(=O)n2Cc1cccc(OCCO)c1
AMLYAMJWYAIXIA-VWNVYAMZSA-N	12	ITGB3,ITGB5,ITGAV,ITGA6	Integrin binder,Integrin alphavbeta5 Antagonists,Integrin alphavbeta3 (Vitronectin) Antagonists	CC(C)[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc2ccccc2)C(=O)N1C
AMQMTWPTOJKPBV-UHFFFAOYSA-N	1	HDAC6	HDAC6	
ANDGGVOPIJEHOF-UHFFFAOYSA-N	4	GRIA4,GRIA3,GRIA2,GRIA1	AMPA Receptor Modulators	O=C(c1ccc2nccnc2c1)N1CCCCC1
ANGKOCUUWGHLCE-UHFFFAOYSA-N	3	CHRM3,CHRM2,CHRM1	Muscarinic Antagonists	C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1
ANJTVLIZGCUXLD-DTWKUNHWSA-N	8	CHRNA4,CHRNA1,CHRNA3,CHRNB1,CHRND,CHRNG,CHRNB4,CHRNB2	Nicotinic alpha4beta2 Partial Agonists	O=c1cccc2n1C[C@@H]1CNC[C@H]2C1
ANMLJLFWUCQGKZ-UHFFFAOYSA-N	4	SLC26A3,CLCA1	Mucin Production, Inhibitors,Calcium-activated Chloride Channels 1 Blockers	O=C1OC(OC(=O)c2cccnc2Nc2cccc(C(F)(F)F)c2)c2ccccc21
ANNRUWYFVIGKHA-UHFFFAOYSA-N	1	CRHR1	CRF1 Antagonists	CCCN(CCC)c1cc(C)nc2c(-c3cnc(N(C)C)cc3C)c(C)nn12
ANRUJJLGVODXIK-UHFFFAOYSA-N	1	HRH3	HRH3 antagonist	NCCC(=O)NCCc1c[nH]cn1
ANYJUPCHANVRRC-DRGJWEBESA-N	1	CETP	Cholesteryl Ester Transfer Protein (CETP) Inhibitors	Cn1nnc(N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)Cc2cc3cc(F)c(F)cc3nc2N2CCC[C@@H]2[C@H]2CC[C@H](C(=O)O)CC2)n1
ANZIISNSHPKVRV-UHFFFAOYSA-N	1	ADRA1B	alpha1-Adrenoceptor Antagonists	COc1cc2c(cc1OC)CN(c1cc(N)c3cc(OC)c(OC)cc3n1)CC2
AOCCBINRVIKJHY-UHFFFAOYSA-N	2	TYMS	Thymidylate Synthase Inhibitors,Pyrimidine Antagonists	CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O
AOJMWYPUZRQUTK-PWRODBHTSA-N	1	REN	Renin Inhibitors	CCOC[C@@H](CC(C)C)NC(=O)[C@@H]1CNC[C@H](C(=O)N(c2cc(OC)c(C(C)C)cn2)C2CC2)C1
AOPOCGPBAIARAV-OTBJXLELSA-N	4	LTB4R,CMKLR1	Chemokine-like Receptor 1 (CMKLR1, CHEMR23) Ligands,Leukotriene BLT1 Receptor Ligands	CC[C@@H](O)/C=C/C=C\C[C@@H](O)/C=C/C=C/C=C\[C@@H](O)CCCC(=O)O
AOUZPXZGMZUQQS-YPAWHYETSA-N	1	MAP2K7	GADD45Beta/ MKK7 complex disruptor	CC(=O)N[C@H](Cc1ccc(O)cc1)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](Cc1ccccc1)C(N)=O
AOXOYUCWJCCUDO-CMDGGOBGSA-N	1	HDAC8	Histone Deacetylase 8 (HDAC8) Inhibitors	O=C(/C=C/c1cccc2ccccc12)NO
APARDBNFWVLXJI-UHFFFAOYSA-N	2	BDKRB1	Non-Opioid Analgesics,BDKRB1 antagonist	COc1cc(CN(CC(=O)NCc2ccccc2Cl)S(=O)(=O)c2ccc(CN3CCN(C)CC3)cc2)ccc1OCC(C)C
APQPRKLAWCIJEK-UHFFFAOYSA-N	1	TGM2	Tissue Transglutaminase (TGM2) Inhibitors	NCCSSCCN
AQCHWTWZEMGIFD-UHFFFAOYSA-N	5	CA12,CA7,CA4,CA5A,CA5B	Carbonic Anhydrase Type VII Inhibitors	Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C
AQCULNMHTOBDQM-UHFFFAOYSA-N	4	HDAC6,HDAC4	Histone Deacetylase 4 (HDAC4) Inhibitors,Histone Deacetylase 6 (HDAC6) Inhibitors	CS(=O)(=O)Cc1noc(-c2ccc(C(=O)C(F)(F)F)s2)n1
AQFFXPQJLZFABJ-UHFFFAOYSA-N	1	PTGER2	PTGER2 antagonist	CC(C)Oc1ccc2c(=O)c3cc(C(=O)O)ccc3oc2c1
AQGNHMOJWBZFQQ-UHFFFAOYSA-N	2	GSK3B,GSK3A	Glycogen Synthase Kinase 3 (GSK-3) Inhibitors	Cc1c[nH]c(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)n1
AQMPIDSGLFVVPL-UHFFFAOYSA-N	1	OPRL1	OPRL1 (Nociceptin Receptor) agonist	COC(=O)CN1CN(c2ccccc2)C2(CCN(Cc3cccc4ccccc34)CC2)C1=O
AQTPWCUIYUOEMG-INIZCTEOSA-N	2	FASN,ADGRF5	FAS inhibitor	O=C(C1CC1)N1CC[C@@H](Cc2n[nH]c(=O)n2-c2ccc(-c3ccc4occc4c3)cc2)C1
ARAIBEBZBOPLMB-UFGQHTETSA-N	4	NEU1,NEU2,NEU3	inhibitor of neuraminidase and Sialidase	CC(=O)N[C@@H]1[C@@H](N=C(N)N)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO
ARIWANIATODDMH-UHFFFAOYSA-N	1			
ARJCBSRIPGJMAD-LLVKDONJSA-N	2	BMP1,TLL2	Inhibitor of the BMP1/TLL1/TLL2 family of Proteases	NC(=O)c1noc([C@H](CCCC2CCCCC2)CC(=O)NO)n1
ASGIQUHBAVIOTI-UHFFFAOYSA-N	1	SIGMAR1	sigma Receptor Antagonists	CN(CCc1ccc(Cl)c(Cl)c1)CCN1CCCC1
ASKREEJRSDOYKI-MMZGTNPYSA-N	2	MET	c-Met) Inhibitors,HGFR (MET	C/C(=N\OCCO)c1ccc2nnc([C@@H](C)c3c(F)cc4ncccc4c3F)n2n1
ASNFTDCKZKHJSW-UWTATZPHSA-N	6	GRM5,GRM1,GRIA1	GRM5 agonist,GRM1 agonist	N[C@H](Cn1oc(=O)[nH]c1=O)C(=O)O
ASUHOMGTZLJQAK-UHFFFAOYSA-N	1	CMA1	Known Chymase inhibitor	O=C(O)CCCSc1nc2ccccc2n1Cc1cccc2ccccc12
ASXVEBPEZMSPHB-YJBOKZPZSA-N	1	CTSB	Cathepsin B Inhibitors	C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)CF
ATASNKKKUMVJNW-CYBMUJFWSA-N	2	MET	c-Met) Inhibitors,HGFR (MET	C[C@@H](c1c(F)cc2ncccc2c1F)c1cnc2ccc(-c3cnn(CCO)c3)nn12
ATEBXHFBFRCZMA-VXTBVIBXSA-N	1	POLRMT	DNA-Directed RNA Polymerase Inhibitors	CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O
ATENFOTVOKHAOY-CQSZACIVSA-N	1	MAP3K5	ASK1	CC(C)Oc1ccc2c(c1)C(=O)N(c1cccc(-c3nncn3[C@H](C)CO)n1)C2
ATHGHQPFGPMSJY-UHFFFAOYSA-N	6	GRIN2B,GRIN2A,PTPN2	Drugs Acting on NMDA Receptors,Protein tyrosine phophatase N-like stimulator	NCCCCNCCCN
ATLZEZGQPAJHJZ-UHFFFAOYSA-N	2	BRAF,RAF1	RAF inhibitor	
ATMHFQDWDFHUDF-TXLWKQMCSA-N	4	TACR2,TACR1	Tachykinin NK2 Antagonists,Tachykinin NK1 Antagonists	CN(C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H](/C=C/C(=O)N[C@@H]1CCCCNC1=O)Cc1ccc(Cl)cc1
ATQMRMGXINTJHV-UHFFFAOYSA-N	1	HTR1B	HTR1B antagonist	Cc1nc(-c2ccc(-c3ccc(C(=O)N4CCc5cc6c(cc54)C4(CCN(C)CC4)CO6)cc3)c(C)c2)no1
ATSUJKLLCSXMLV-BUHFOSPRSA-N	6	HDAC10,HDAC11,HDAC5,HDAC7,HDAC8,HDAC9	Histone Deacetylase (HDAC) Inhibitors	O=C(/C=C/c1ccc(CNCCn2c3ccccc3c3ccccc32)cc1)NO
AUGQEEXBDZWUJY-NMAPUUFXSA-N	3	SLC5A1	Apoptosis Inducers,SGLT-1 expression Inhibitors,Translation inhibitor	CC(=O)OC[C@]12CCC(C)=C[C@H]1O[C@@H]1[C@H](O)[C@@H](OC(C)=O)[C@@]2(C)[C@]12CO2
AUJDLGWTNPBCBU-UHFFFAOYSA-N	1	CSNK2A2	Protein kinase CK2 inhibition	Cc1sc2ncnc(Nc3cccc(C(=O)O)c3)c2c1-c1ccccc1
AUMDBEHGJRZSOO-UHFFFAOYSA-N	1	CSNK1E	Casein Kinase CK1epsilon Inhibitors	Nc1ncnc2c1c(COc1cccc(Cl)c1)nn2C1CCOCC1
AURFZBICLPNKBZ-FZCSVUEKSA-N	2	HSD11B1	11-beta-Hydroxysteroid Dehydrogenase Type 1 (11beta-HSD1) Inhibitors,GABA(A) Receptor Antagonists	CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
AURFZBICLPNKBZ-YZRLXODZSA-N	4	GABRG2,GABRB2,GABRA2,GABRA1	GABA(A) Receptor Modulators	CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
AUVVAXYIELKVAI-CKBKHPSWSA-N	2	RPS20,RPS14	Translation inhibitor	CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21
AUYYCJSJGJYCDS-GFCCVEGCSA-N	1	THRA	Thyroid receptor agonist	N[C@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
AUYYCJSJGJYCDS-LBPRGKRZSA-N	4	THRB,THRA	Hormone replacement agent,Thyroid hormone receptor alpha agonist	N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
AVNQVPDWFUNVON-MEMLXQNLSA-N	2	EZH2,EZH1	PRC2/EZH2	CCN(c1cc(Cl)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)C)CC1
AWDORCFLUJZUQS-ZDUSSCGKSA-N	9	PRKACA,ROCK1,ROCK2	PKC Kinase nhibitor,ROCK gene inhibitor,Vasodilator	Cc1cncc2cccc(S(=O)(=O)N3CCCNC[C@@H]3C)c12
AWHNHDGHHNGACT-UHFFFAOYSA-N	25	HTR2A,DRD4,DRD3,DRD2,DRD1	5-HT2A Receptor Ligands,Dopamine D3 Receptor Ligands,Dopamine D1 Receptor Ligands,Dopamine D4 Receptor Ligands,Dopamine D2 Receptor Ligands	CN1CCN(C2=Nc3cc(Cl)ccc3Oc3ccccc32)CC1
AWIVHRPYFSSVOG-UHFFFAOYSA-N	2	PDE5A	Phosphodiesterase V (PDE5A) Inhibitors,Autophagy Agonist	Fc1ccc(CNc2ncnc3ccc(F)cc23)cc1
AWNGTXBLNYSBDK-UHFFFAOYSA-N	1			
AWOPBSAJHCUSAS-UHFFFAOYSA-N	1	PNPLA2	Patatin like phospholipase protein inhibitor	CN(C)C(=O)Nc1cccc(-c2ccc(N(C)C)cc2)c1
AWUGZGWYVVYYIP-ZDUSSCGKSA-N	5	RNU1-4,SNRPC,RNU1-3,RNU1-2,RNU1-1	splicing modulator	Cc1cn2cc(-c3cc4ccc(N5CCN[C@@H](C)C5)cc4oc3=O)nc2c(C)n1
AXKPFOAXAHJUAG-UHFFFAOYSA-N	4	HTR1E,HTR1F	Dopamine D2 Antagonists,5-HT2 Antagonists	NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1
AXLYOAXOIGRBKX-UHFFFAOYSA-N	1			
AXRCEOKUDYDWLF-UHFFFAOYSA-N	12	PRKCB,PRKCH,PRKCZ,RPS6KB1	Angiogenesis Inhibitors,Protein Kinase PKC beta Inhibitors,Inhibitors of Signal Transduction Pathways	Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21
AXUZQJFHDNNPFG-UXBLZVDNSA-N	4	ABCC4,CYSLTR1	Leukotriene Synthesis Inhibitors,Leukotriene CysLT1 (LTD4) Antagonists	CN(C)C(=O)CCSC(SCCC(=O)O)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1
AYOUDDAETNMCBW-GSHUGGBRSA-N	2	PSEN1	gamma secretase inhibitor,Gamma-secretase inhibitor	CN1C(=O)[C@@H](NC(=O)[C@H](CCC(F)(F)F)[C@H](CCC(F)(F)F)C(N)=O)N=C(c2ccccc2)c2ccccc21
AYQKIBOBFAZBCX-UHFFFAOYSA-N	5	CHRM4,CHRM3,CHRM2,CHRM1,CHRM5	Muscarinic M1 Agonists	C1=C(c2cc3ccccc3o2)C2CCN1CC2
